area,date,interest,isPartial,brand,super_brand,year,month,week,is_zero
ZA,2019-05-12,18,False,Sleepmasters,competitor_brand,2019,5,19,0
ZA,2019-05-19,46,False,Sealy,own,2019,5,20,0
ZA,2019-05-19,0,False,Edblo,own,2019,5,20,1
ZA,2019-05-19,68,False,King Koil,own,2019,5,20,0
ZA,2019-05-19,31,False,sealy posturepedic,own,2019,5,20,0
ZA,2019-05-19,0,False,Forgeron,competitor_brand,2019,5,20,1
ZA,2019-05-19,25,False,Restonic,competitor_brand,2019,5,20,0
ZA,2019-05-19,11,False,Cloud 9,competitor_brand,2019,5,20,0
ZA,2019-05-19,0,False,Rest Assured,competitor_brand,2019,5,20,1
ZA,2019-05-19,0,False,Serta,competitor_brand,2019,5,20,1
ZA,2019-05-19,60,False,Simmons,competitor_brand,2019,5,20,0
ZA,2019-05-19,25,False,Tempur,competitor_brand,2019,5,20,0
ZA,2019-05-19,0,False,Dreamland,competitor_brand,2019,5,20,1
ZA,2019-05-19,0,False,Dunlopillo,competitor_brand,2019,5,20,1
ZA,2019-05-19,0,False,Forty Winks,competitor_brand,2019,5,20,1
ZA,2019-05-19,9,False,Sleepmasters,competitor_brand,2019,5,20,0
ZA,2019-05-26,45,False,Sealy,own,2019,5,21,0
ZA,2019-05-26,0,False,Edblo,own,2019,5,21,1
ZA,2019-05-26,100,False,King Koil,own,2019,5,21,0
ZA,2019-05-26,0,False,sealy posturepedic,own,2019,5,21,1
ZA,2019-05-26,0,False,Forgeron,competitor_brand,2019,5,21,1
ZA,2019-05-26,12,False,Restonic,competitor_brand,2019,5,21,0
ZA,2019-05-26,44,False,Cloud 9,competitor_brand,2019,5,21,0
ZA,2019-05-26,100,False,Rest Assured,competitor_brand,2019,5,21,0
ZA,2019-05-26,27,False,Serta,competitor_brand,2019,5,21,0
ZA,2019-05-26,40,False,Simmons,competitor_brand,2019,5,21,0
ZA,2019-05-26,100,False,Tempur,competitor_brand,2019,5,21,0
ZA,2019-05-26,0,False,Dreamland,competitor_brand,2019,5,21,1
ZA,2019-05-26,0,False,Dunlopillo,competitor_brand,2019,5,21,1
ZA,2019-05-26,0,False,Forty Winks,competitor_brand,2019,5,21,1
ZA,2019-05-26,9,False,Sleepmasters,competitor_brand,2019,5,21,0
ZA,2019-06-02,54,False,Sealy,own,2019,6,22,0
ZA,2019-06-02,0,False,Edblo,own,2019,6,22,1
ZA,2019-06-02,0,False,King Koil,own,2019,6,22,1
ZA,2019-06-02,29,False,sealy posturepedic,own,2019,6,22,0
ZA,2019-06-02,0,False,Forgeron,competitor_brand,2019,6,22,1
ZA,2019-06-02,12,False,Restonic,competitor_brand,2019,6,22,0
ZA,2019-06-02,21,False,Cloud 9,competitor_brand,2019,6,22,0
ZA,2019-06-02,0,False,Rest Assured,competitor_brand,2019,6,22,1
ZA,2019-06-02,0,False,Serta,competitor_brand,2019,6,22,1
ZA,2019-06-02,51,False,Simmons,competitor_brand,2019,6,22,0
ZA,2019-06-02,0,False,Tempur,competitor_brand,2019,6,22,1
ZA,2019-06-02,0,False,Dreamland,competitor_brand,2019,6,22,1
ZA,2019-06-02,0,False,Dunlopillo,competitor_brand,2019,6,22,1
ZA,2019-06-02,0,False,Forty Winks,competitor_brand,2019,6,22,1
ZA,2019-06-02,26,False,Sleepmasters,competitor_brand,2019,6,22,0
ZA,2019-06-09,45,False,Sealy,own,2019,6,23,0
ZA,2019-06-09,18,False,Edblo,own,2019,6,23,0
ZA,2019-06-09,0,False,King Koil,own,2019,6,23,1
ZA,2019-06-09,0,False,sealy posturepedic,own,2019,6,23,1
ZA,2019-06-09,0,False,Forgeron,competitor_brand,2019,6,23,1
ZA,2019-06-09,0,False,Restonic,competitor_brand,2019,6,23,1
ZA,2019-06-09,34,False,Cloud 9,competitor_brand,2019,6,23,0
ZA,2019-06-09,50,False,Rest Assured,competitor_brand,2019,6,23,0
ZA,2019-06-09,27,False,Serta,competitor_brand,2019,6,23,0
ZA,2019-06-09,100,False,Simmons,competitor_brand,2019,6,23,0
ZA,2019-06-09,51,False,Tempur,competitor_brand,2019,6,23,0
ZA,2019-06-09,26,False,Dreamland,competitor_brand,2019,6,23,0
ZA,2019-06-09,0,False,Dunlopillo,competitor_brand,2019,6,23,1
ZA,2019-06-09,0,False,Forty Winks,competitor_brand,2019,6,23,1
ZA,2019-06-09,18,False,Sleepmasters,competitor_brand,2019,6,23,0
ZA,2019-06-16,12,False,Sealy,own,2019,6,24,0
ZA,2019-06-16,0,False,Edblo,own,2019,6,24,1
ZA,2019-06-16,0,False,King Koil,own,2019,6,24,1
ZA,2019-06-16,0,False,sealy posturepedic,own,2019,6,24,1
ZA,2019-06-16,0,False,Forgeron,competitor_brand,2019,6,24,1
ZA,2019-06-16,0,False,Restonic,competitor_brand,2019,6,24,1
ZA,2019-06-16,60,False,Cloud 9,competitor_brand,2019,6,24,0
ZA,2019-06-16,27,False,Rest Assured,competitor_brand,2019,6,24,0
ZA,2019-06-16,0,False,Serta,competitor_brand,2019,6,24,1
ZA,2019-06-16,35,False,Simmons,competitor_brand,2019,6,24,0
ZA,2019-06-16,54,False,Tempur,competitor_brand,2019,6,24,0
ZA,2019-06-16,0,False,Dreamland,competitor_brand,2019,6,24,1
ZA,2019-06-16,0,False,Dunlopillo,competitor_brand,2019,6,24,1
ZA,2019-06-16,0,False,Forty Winks,competitor_brand,2019,6,24,1
ZA,2019-06-16,29,False,Sleepmasters,competitor_brand,2019,6,24,0
ZA,2019-06-23,35,False,Sealy,own,2019,6,25,0
ZA,2019-06-23,0,False,Edblo,own,2019,6,25,1
ZA,2019-06-23,34,False,King Koil,own,2019,6,25,0
ZA,2019-06-23,31,False,sealy posturepedic,own,2019,6,25,0
ZA,2019-06-23,0,False,Forgeron,competitor_brand,2019,6,25,1
ZA,2019-06-23,51,False,Restonic,competitor_brand,2019,6,25,0
ZA,2019-06-23,23,False,Cloud 9,competitor_brand,2019,6,25,0
ZA,2019-06-23,0,False,Rest Assured,competitor_brand,2019,6,25,1
ZA,2019-06-23,0,False,Serta,competitor_brand,2019,6,25,1
ZA,2019-06-23,27,False,Simmons,competitor_brand,2019,6,25,0
ZA,2019-06-23,52,False,Tempur,competitor_brand,2019,6,25,0
ZA,2019-06-23,0,False,Dreamland,competitor_brand,2019,6,25,1
ZA,2019-06-23,0,False,Dunlopillo,competitor_brand,2019,6,25,1
ZA,2019-06-23,43,False,Forty Winks,competitor_brand,2019,6,25,0
ZA,2019-06-23,9,False,Sleepmasters,competitor_brand,2019,6,25,0
ZA,2019-06-30,66,False,Sealy,own,2019,6,26,0
ZA,2019-06-30,0,False,Edblo,own,2019,6,26,1
ZA,2019-06-30,0,False,King Koil,own,2019,6,26,1
ZA,2019-06-30,60,False,sealy posturepedic,own,2019,6,26,0
ZA,2019-06-30,0,False,Forgeron,competitor_brand,2019,6,26,1
ZA,2019-06-30,48,False,Restonic,competitor_brand,2019,6,26,0
ZA,2019-06-30,44,False,Cloud 9,competitor_brand,2019,6,26,0
ZA,2019-06-30,25,False,Rest Assured,competitor_brand,2019,6,26,0
ZA,2019-06-30,0,False,Serta,competitor_brand,2019,6,26,1
ZA,2019-06-30,19,False,Simmons,competitor_brand,2019,6,26,0
ZA,2019-06-30,0,False,Tempur,competitor_brand,2019,6,26,1
ZA,2019-06-30,25,False,Dreamland,competitor_brand,2019,6,26,0
