area,date,interest,sealy,isPartial,brand,super_brand,year,month,week,is_zero
ZA,2017-03-26,0,24,False,Dunlopillo,competitor_brand,2017,3,12,1
ZA,2017-04-02,7,7,False,Sealy,own,2017,4,13,0
ZA,2017-04-02,0,7,False,Edblo,own,2017,4,13,1
ZA,2017-04-02,7,7,False,King Koil,own,2017,4,13,0
ZA,2017-04-02,0,7,False,King Coil,own,2017,4,13,1
ZA,2017-04-02,0,7,False,Slumber Land,own,2017,4,13,1
ZA,2017-04-02,0,7,False,sealy posturepedic,own,2017,4,13,1
ZA,2017-04-02,0,7,False,Slumberland,own,2017,4,13,1
ZA,2017-04-02,0,8,False,Ashleigh's,competitor_brand,2017,4,13,1
ZA,2017-04-02,0,8,False,Ashleighs,competitor_brand,2017,4,13,1
ZA,2017-04-02,0,8,False,Forgeron,competitor_brand,2017,4,13,1
ZA,2017-04-02,0,8,False,Restonic,competitor_brand,2017,4,13,1
ZA,2017-04-02,0,8,False,Cloud 9,competitor_brand,2017,4,13,1
ZA,2017-04-02,0,8,False,Cloud Nine,competitor_brand,2017,4,13,1
ZA,2017-04-02,0,8,False,Rest Assured,competitor_brand,2017,4,13,1
ZA,2017-04-02,8,8,False,Serta,competitor_brand,2017,4,13,0
ZA,2017-04-02,16,8,False,Simmons,competitor_brand,2017,4,13,0
ZA,2017-04-02,0,8,False,Tempur,competitor_brand,2017,4,13,1
ZA,2017-04-02,0,8,False,Dreamland,competitor_brand,2017,4,13,1
ZA,2017-04-02,0,8,False,Dunlopillo,competitor_brand,2017,4,13,1
ZA,2017-04-09,17,17,False,Sealy,own,2017,4,14,0
ZA,2017-04-09,0,17,False,Edblo,own,2017,4,14,1
ZA,2017-04-09,0,17,False,King Koil,own,2017,4,14,1
ZA,2017-04-09,17,17,False,King Coil,own,2017,4,14,0
ZA,2017-04-09,0,17,False,Slumber Land,own,2017,4,14,1
ZA,2017-04-09,0,17,False,sealy posturepedic,own,2017,4,14,1
ZA,2017-04-09,0,17,False,Slumberland,own,2017,4,14,1
ZA,2017-04-09,0,9,False,Ashleigh's,competitor_brand,2017,4,14,1
ZA,2017-04-09,0,9,False,Ashleighs,competitor_brand,2017,4,14,1
ZA,2017-04-09,0,9,False,Forgeron,competitor_brand,2017,4,14,1
ZA,2017-04-09,18,9,False,Restonic,competitor_brand,2017,4,14,0
ZA,2017-04-09,9,9,False,Cloud 9,competitor_brand,2017,4,14,0
ZA,2017-04-09,9,9,False,Cloud Nine,competitor_brand,2017,4,14,0
ZA,2017-04-09,0,9,False,Rest Assured,competitor_brand,2017,4,14,1
ZA,2017-04-09,0,9,False,Serta,competitor_brand,2017,4,14,1
ZA,2017-04-09,9,9,False,Simmons,competitor_brand,2017,4,14,0
ZA,2017-04-09,9,9,False,Tempur,competitor_brand,2017,4,14,0
ZA,2017-04-09,0,9,False,Dreamland,competitor_brand,2017,4,14,1
ZA,2017-04-09,0,9,False,Dunlopillo,competitor_brand,2017,4,14,1
ZA,2017-04-16,17,17,False,Sealy,own,2017,4,15,0
ZA,2017-04-16,0,17,False,Edblo,own,2017,4,15,1
ZA,2017-04-16,0,17,False,King Koil,own,2017,4,15,1
ZA,2017-04-16,0,17,False,King Coil,own,2017,4,15,1
ZA,2017-04-16,0,17,False,Slumber Land,own,2017,4,15,1
ZA,2017-04-16,0,17,False,sealy posturepedic,own,2017,4,15,1
ZA,2017-04-16,0,17,False,Slumberland,own,2017,4,15,1
ZA,2017-04-16,0,0,False,Ashleigh's,competitor_brand,2017,4,15,1
ZA,2017-04-16,0,0,False,Ashleighs,competitor_brand,2017,4,15,1
ZA,2017-04-16,0,0,False,Forgeron,competitor_brand,2017,4,15,1
ZA,2017-04-16,0,0,False,Restonic,competitor_brand,2017,4,15,1
ZA,2017-04-16,17,0,False,Cloud 9,competitor_brand,2017,4,15,0
ZA,2017-04-16,0,0,False,Cloud Nine,competitor_brand,2017,4,15,1
ZA,2017-04-16,17,0,False,Rest Assured,competitor_brand,2017,4,15,0
ZA,2017-04-16,0,0,False,Serta,competitor_brand,2017,4,15,1
ZA,2017-04-16,0,0,False,Simmons,competitor_brand,2017,4,15,1
ZA,2017-04-16,0,0,False,Tempur,competitor_brand,2017,4,15,1
ZA,2017-04-16,0,0,False,Dreamland,competitor_brand,2017,4,15,1
ZA,2017-04-16,0,0,False,Dunlopillo,competitor_brand,2017,4,15,1
ZA,2017-04-23,17,17,False,Sealy,own,2017,4,16,0
ZA,2017-04-23,0,17,False,Edblo,own,2017,4,16,1
ZA,2017-04-23,0,17,False,King Koil,own,2017,4,16,1
ZA,2017-04-23,0,17,False,King Coil,own,2017,4,16,1
ZA,2017-04-23,0,17,False,Slumber Land,own,2017,4,16,1
ZA,2017-04-23,8,17,False,sealy posturepedic,own,2017,4,16,0
ZA,2017-04-23,0,17,False,Slumberland,own,2017,4,16,1
ZA,2017-04-23,0,9,False,Ashleigh's,competitor_brand,2017,4,16,1
ZA,2017-04-23,0,9,False,Ashleighs,competitor_brand,2017,4,16,1
ZA,2017-04-23,0,9,False,Forgeron,competitor_brand,2017,4,16,1
ZA,2017-04-23,0,9,False,Restonic,competitor_brand,2017,4,16,1
ZA,2017-04-23,18,9,False,Cloud 9,competitor_brand,2017,4,16,0
ZA,2017-04-23,9,9,False,Cloud Nine,competitor_brand,2017,4,16,0
ZA,2017-04-23,0,9,False,Rest Assured,competitor_brand,2017,4,16,1
ZA,2017-04-23,9,9,False,Serta,competitor_brand,2017,4,16,0
ZA,2017-04-23,0,9,False,Simmons,competitor_brand,2017,4,16,1
ZA,2017-04-23,9,9,False,Tempur,competitor_brand,2017,4,16,0
ZA,2017-04-23,0,9,False,Dreamland,competitor_brand,2017,4,16,1
ZA,2017-04-23,0,9,False,Dunlopillo,competitor_brand,2017,4,16,1
ZA,2017-04-30,16,16,False,Sealy,own,2017,4,17,0
ZA,2017-04-30,0,16,False,Edblo,own,2017,4,17,1
ZA,2017-04-30,0,16,False,King Koil,own,2017,4,17,1
ZA,2017-04-30,0,16,False,King Coil,own,2017,4,17,1
ZA,2017-04-30,0,16,False,Slumber Land,own,2017,4,17,1
ZA,2017-04-30,0,16,False,sealy posturepedic,own,2017,4,17,1
ZA,2017-04-30,0,16,False,Slumberland,own,2017,4,17,1
ZA,2017-04-30,0,25,False,Ashleigh's,competitor_brand,2017,4,17,1
ZA,2017-04-30,0,25,False,Ashleighs,competitor_brand,2017,4,17,1
ZA,2017-04-30,0,25,False,Forgeron,competitor_brand,2017,4,17,1
ZA,2017-04-30,0,25,False,Restonic,competitor_brand,2017,4,17,1
ZA,2017-04-30,0,25,False,Cloud 9,competitor_brand,2017,4,17,1
ZA,2017-04-30,0,25,False,Cloud Nine,competitor_brand,2017,4,17,1
ZA,2017-04-30,8,25,False,Rest Assured,competitor_brand,2017,4,17,0
ZA,2017-04-30,0,25,False,Serta,competitor_brand,2017,4,17,1
ZA,2017-04-30,0,25,False,Simmons,competitor_brand,2017,4,17,1
ZA,2017-04-30,0,25,False,Tempur,competitor_brand,2017,4,17,1
ZA,2017-04-30,0,25,False,Dreamland,competitor_brand,2017,4,17,1
ZA,2017-04-30,0,25,False,Dunlopillo,competitor_brand,2017,4,17,1
ZA,2017-05-07,30,30,False,Sealy,own,2017,5,18,0
ZA,2017-05-07,0,30,False,Edblo,own,2017,5,18,1
ZA,2017-05-07,0,30,False,King Koil,own,2017,5,18,1
ZA,2017-05-07,0,30,False,King Coil,own,2017,5,18,1
ZA,2017-05-07,0,30,False,Slumber Land,own,2017,5,18,1
ZA,2017-05-07,15,30,False,sealy posturepedic,own,2017,5,18,0
ZA,2017-05-07,8,30,False,Slumberland,own,2017,5,18,0
ZA,2017-05-07,0,24,False,Ashleigh's,competitor_brand,2017,5,18,1
ZA,2017-05-07,0,24,False,Ashleighs,competitor_brand,2017,5,18,1
ZA,2017-05-07,0,24,False,Forgeron,competitor_brand,2017,5,18,1
ZA,2017-05-07,8,24,False,Restonic,competitor_brand,2017,5,18,0
ZA,2017-05-07,24,24,False,Cloud 9,competitor_brand,2017,5,18,0
ZA,2017-05-07,16,24,False,Cloud Nine,competitor_brand,2017,5,18,0
ZA,2017-05-07,8,24,False,Rest Assured,competitor_brand,2017,5,18,0
ZA,2017-05-07,8,24,False,Serta,competitor_brand,2017,5,18,0
ZA,2017-05-07,16,24,False,Simmons,competitor_brand,2017,5,18,0
ZA,2017-05-07,8,24,False,Tempur,competitor_brand,2017,5,18,0
ZA,2017-05-07,0,24,False,Dreamland,competitor_brand,2017,5,18,1
ZA,2017-05-07,0,24,False,Dunlopillo,competitor_brand,2017,5,18,1
ZA,2017-05-14,41,41,False,Sealy,own,2017,5,19,0
